URL,LCP,CLS
https://www.soncocrowdcontrol.com,"27,5 s","0,518"
https://www.soncocrowdcontrol.com/temporary-fence,"32,0 s","0,811"
https://www.soncocrowdcontrol.com/crowd-control-barriers,"32,4 s","0,811"

Melhor Resultado
https://www.soncocrowdcontrol.com

Desvio Padrão Geral
LCP,2.7209067116190018
CLS,0.16916362887256037

Distância Média da Página de referência
LCP,3.133333333333333
CLS,0.19533333333333336

Data da Exportação
2023-05-26
